,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,valence,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2236,Simata Mors,"Haris & Panos Katsimihas Compilation, Vol. 2",Haris & Panos Katsimihas,2016-01-01,362866,2,0.598,0.65,0.362,0.288,1.01e-06,0.16,-10.227,0.0306,113.623,4
2237,To Koritsi Me Ta Spirta,"Haris & Panos Katsimihas Compilation, Vol. 2",Haris & Panos Katsimihas,2016-01-01,293120,0,0.35,0.822,0.306,0.559,0.0,0.384,-9.734,0.0338,81.207,3
2238,Palia Kalokeria,Tis Agapis Maheria,Harrys Katsimichas,1994-12-18,185400,0,0.614,0.925,0.179,0.399,0.00268,0.0998,-15.531,0.0315,92.874,4
2239,Etsi Trelenese,Tis Agapis Maheria,Harrys Katsimichas,1994-12-18,280226,0,0.8,0.0666,0.674,0.68,0.000313,0.0573,-11.449,0.0549,97.014,4
2240,Ta Logia Ta Megala Pou Ho Pi,Tis Agapis Maheria,Harrys Katsimichas,1994-12-18,345533,0,0.448,0.683,0.693,0.427,0.000358,0.978,-12.804,0.371,182.732,3
2241,I Tsatsara,Tis Agapis Maheria,Harrys Katsimichas,1994-12-18,207800,0,0.626,0.555,0.363,0.428,1.8e-05,0.116,-12.171,0.0442,129.792,4
2242,Ta Rempetika Mas Mes Sti Strata,Laika Proastia,Sotiria Bellou,2009-06-10,156080,6,0.676,0.549,0.637,0.67,0.0,0.122,-4.997,0.0473,106.27,4
2243,Plateia Vathis,Laika Proastia,Sotiria Bellou,2009-06-10,207066,9,0.4,0.513,0.604,0.352,0.0,0.145,-6.789,0.0358,94.431,4
2244,Metaxourgeio,Laika Proastia,Sotiria Bellou,2009-06-10,171026,5,0.453,0.757,0.453,0.277,0.0,0.0926,-6.952,0.0338,128.65,4
2245,Kaisariani,Laika Proastia,Sotiria Bellou,2009-06-10,188933,4,0.556,0.616,0.624,0.553,0.0,0.0713,-5.7,0.0381,126.633,4
2246,Skopeftirio,Laika Proastia,Sotiria Bellou,2009-06-10,157040,5,0.597,0.682,0.561,0.579,0.0,0.0523,-5.117,0.0288,100.649,4
2247,O Ageras Stous Dromous,Laika Proastia,Sotiria Bellou,2009-06-10,200920,8,0.408,0.612,0.551,0.483,4.08e-06,0.304,-8.449,0.03,112.71,3
2248,Min Klais,Laika Proastia,Sotiria Bellou,2009-06-10,259133,25,0.389,0.498,0.503,0.313,1.03e-06,0.082,-7.061,0.0312,132.096,4
2249,Stis Laspomenes Strates,Laika Proastia,Sotiria Bellou,2009-06-10,179426,6,0.61,0.471,0.68,0.748,0.0,0.103,-4.234,0.0304,132.12,5
2250,Kapoio Vrady T' Oneiro Mou,Laika Proastia,Sotiria Bellou,2009-06-10,134000,2,0.483,0.757,0.629,0.544,0.0,0.0916,-3.867,0.0496,112.02,4
2251,Akronafplia,Laika Proastia,Sotiria Bellou,2009-06-10,196066,3,0.659,0.504,0.672,0.595,0.0,0.043,-4.592,0.0322,125.626,4
2252,Eipa Na Sou Steilo,Laika Proastia,Sotiria Bellou,2009-06-10,155906,2,0.35,0.705,0.396,0.661,3.18e-06,0.0867,-8.757,0.0321,117.19,3
2253,Laika Proastia,Laika Proastia,Sotiria Bellou,2009-06-10,121226,3,0.439,0.723,0.425,0.449,0.0,0.177,-8.612,0.0377,83.836,4
